TaskNumber;N;FuncNumber;eps;r;min;IsSolvePerebor;timePerebor;IterPerebor;IsSolveAGP;timeAGP;IterAGP;
67; 2; 1; 0.010000; 3.600000; -9.285651; 0; -1; -1; 1; 0.004000; 46; 
68; 2; 1; 0.010000; 3.600000; -9.592767; 0; -1; -1; 1; 0.004000; 30; 
69; 2; 1; 0.010000; 3.600000; -10.821415; 0; -1; -1; 1; 0.005000; 47; 
6; 2; 1; 0.010000; 3.600000; -9.180170; 0; -1; -1; 1; 0.006000; 41; 
70; 2; 1; 0.010000; 3.600000; -9.346632; 0; -1; -1; 1; 0.004000; 25; 
71; 2; 1; 0.010000; 3.600000; -9.804441; 0; -1; -1; 1; 0.003000; 1; 
72; 2; 1; 0.010000; 3.600000; -10.861951; 0; -1; -1; 1; 0.005000; 49; 
73; 2; 1; 0.010000; 3.600000; -10.980854; 0; -1; -1; 1; 0.005000; 29; 
74; 2; 1; 0.010000; 3.600000; -8.966145; 0; -1; -1; 1; 0.004000; 35; 
75; 2; 1; 0.010000; 3.600000; -11.003852; 0; -1; -1; 1; 0.004000; 20; 
76; 2; 1; 0.010000; 3.600000; -9.959369; 0; -1; -1; 1; 0.007000; 97; 
77; 2; 1; 0.010000; 3.600000; -11.386479; 0; -1; -1; 1; 0.004000; 31; 
78; 2; 1; 0.010000; 3.600000; -11.446572; 0; -1; -1; 1; 0.004000; 16; 
79; 2; 1; 0.010000; 3.600000; -14.170564; 0; -1; -1; 1; 0.004000; 28; 
7; 2; 1; 0.010000; 3.600000; -9.359563; 0; -1; -1; 1; 0.005000; 76; 
80; 2; 1; 0.010000; 3.600000; -10.619866; 0; -1; -1; 1; 0.008000; 30; 
81; 2; 1; 0.010000; 3.600000; -11.321909; 0; -1; -1; 1; 0.005000; 59; 
82; 2; 1; 0.010000; 3.600000; -10.952365; 0; -1; -1; 1; 0.005000; 44; 
83; 2; 1; 0.010000; 3.600000; -11.416539; 0; -1; -1; 1; 0.007000; 20; 
84; 2; 1; 0.010000; 3.600000; -12.054238; 0; -1; -1; 1; 0.005000; 30; 
85; 2; 1; 0.010000; 3.600000; -10.458983; 0; -1; -1; 1; 0.005000; 17; 
86; 2; 1; 0.010000; 3.600000; -9.429296; 0; -1; -1; 1; 0.007000; 51; 
87; 2; 1; 0.010000; 3.600000; -10.452633; 0; -1; -1; 1; 0.004000; 18; 
88; 2; 1; 0.010000; 3.600000; -10.753069; 0; -1; -1; 1; 0.005000; 33; 
89; 2; 1; 0.010000; 3.600000; -9.816686; 0; -1; -1; 1; 0.004000; 34; 
8; 2; 1; 0.010000; 3.600000; -11.470027; 0; -1; -1; 1; 0.004000; 18; 
90; 2; 1; 0.010000; 3.600000; -12.207365; 0; -1; -1; 1; 0.004000; 25; 
91; 2; 1; 0.010000; 3.600000; -10.391872; 0; -1; -1; 1; 0.006000; 54; 
92; 2; 1; 0.010000; 3.600000; -9.689064; 0; -1; -1; 1; 0.005000; 34; 
93; 2; 1; 0.010000; 3.600000; -11.918313; 0; -1; -1; 1; 0.005000; 39; 
94; 2; 1; 0.010000; 3.600000; -10.429421; 0; -1; -1; 1; 0.006000; 75; 
95; 2; 1; 0.010000; 3.600000; -10.349460; 0; -1; -1; 1; 0.010000; 29; 
96; 2; 1; 0.010000; 3.600000; -9.013780; 0; -1; -1; 1; 0.005000; 19; 
97; 2; 1; 0.010000; 3.600000; -8.916829; 0; -1; -1; 1; 0.005000; 58; 
98; 2; 1; 0.010000; 3.600000; -8.747847; 0; -1; -1; 1; 0.005000; 36; 
99; 2; 1; 0.010000; 3.600000; -12.769816; 0; -1; -1; 1; 0.005000; 28; 
9; 2; 1; 0.010000; 3.600000; -11.414708; 0; -1; -1; 1; 0.005000; 42; 
